"date","adjustments","adjustments_lab","indORchange","indORchange_lab","nomORreal","nomORreal_lab","var","var_lab","value"
2003-01-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.3"
2003-02-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","80.1"
2003-02-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.8"
2003-03-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","85.2"
2003-03-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.8"
2003-04-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.9"
2003-04-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.7"
2003-05-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","93.2"
2003-05-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.7"
2003-06-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","81"
2003-06-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.6"
2003-07-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.3"
2003-07-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.7"
2003-08-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","79.7"
2003-08-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","86.2"
2003-09-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.9"
2003-09-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.2"
2003-10-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","92.8"
2003-10-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90"
2003-11-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","92.5"
2003-11-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.2"
2003-12-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","110.2"
2003-12-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.2"
2004-01-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.4"
2004-01-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","91.9"
2004-02-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","82.7"
2004-02-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.9"
2004-03-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.2"
2004-03-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.6"
2004-04-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.6"
2004-04-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.2"
2004-05-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.9"
2004-05-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.2"
2004-06-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","86.7"
2004-06-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.2"
2004-07-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.4"
2004-07-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.8"
2004-08-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","83.3"
2004-08-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.2"
2004-09-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.8"
2004-09-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.4"
2004-10-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.3"
2004-10-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89"
2004-11-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","95.9"
2004-11-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.1"
2004-12-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","111.2"
2004-12-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.6"
2005-01-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.9"
2005-01-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","91"
2005-02-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","81.9"
2005-02-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","91.2"
2005-03-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.9"
2005-03-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","91.9"
2005-04-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","91.8"
2005-04-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","92"
2005-05-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.7"
2005-05-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.7"
2005-06-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.1"
2005-06-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","92.2"
2005-07-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.4"
2005-07-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","91.3"
2005-08-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","86.8"
2005-08-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","92.2"
2005-09-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.1"
2005-09-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.8"
2005-10-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","92.8"
2005-10-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","92.2"
2005-11-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","97.8"
2005-11-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","91.6"
2005-12-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","114.3"
2005-12-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90"
2006-01-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.8"
2006-01-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","93.2"
2006-02-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","82.5"
2006-02-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","92.1"
2006-03-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.5"
2006-03-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","91.8"
2006-04-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","91.1"
2006-04-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","93.5"
2006-05-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","96.2"
2006-05-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","92.5"
2006-06-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.9"
2006-06-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","93.9"
2006-07-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","91.5"
2006-07-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","93.6"
2006-08-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","91"
2006-08-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","96"
2006-09-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","91"
2006-09-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","92.5"
2006-10-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","92.9"
2006-10-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","92.9"
2006-11-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","100.4"
2006-11-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","94.1"
2006-12-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","114.8"
2006-12-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","94"
2007-01-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","94"
2007-01-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","96.2"
2007-02-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","84.6"
2007-02-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","94.7"
2007-03-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","95.6"
2007-03-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","96"
2007-04-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","93.3"
2007-04-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","97.3"
2007-05-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","98.1"
2007-05-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","95.1"
2007-06-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","93.5"
2007-06-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","95.7"
2007-07-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","94.5"
2007-07-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","96.9"
2007-08-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","94.2"
2007-08-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","99.2"
2007-09-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","93.2"
2007-09-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","96.9"
2007-10-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","99.4"
2007-10-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","97.5"
2007-11-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","104.5"
2007-11-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","98.2"
2007-12-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","117.7"
2007-12-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","97.8"
2008-01-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","97.4"
2008-01-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","99.6"
2008-02-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","93.1"
2008-02-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","100.2"
2008-03-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","95.5"
2008-03-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","99.1"
2008-04-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","97.5"
2008-04-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","98.6"
2008-05-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","107.5"
2008-05-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","102.6"
2008-06-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","96.1"
2008-06-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","101"
2008-07-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","102.5"
2008-07-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","102"
2008-08-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","95.6"
2008-08-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","102.3"
2008-09-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","101.5"
2008-09-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","105"
2008-10-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","103.8"
2008-10-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","100.8"
2008-11-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","103.3"
2008-11-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","98.9"
2008-12-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","122.2"
2008-12-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","100.8"
2009-01-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","98"
2009-01-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","100.1"
2009-02-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.3"
2009-02-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","100.5"
2009-03-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","96.2"
2009-03-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","99.9"
2009-04-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","98"
2009-04-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","99.3"
2009-05-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","104.7"
2009-05-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","101.4"
2009-06-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","96"
2009-06-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","100.2"
2009-07-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","102.3"
2009-07-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","101.1"
2009-08-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","93.8"
2009-08-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","101.2"
2009-09-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","98.7"
2009-09-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","101.6"
2009-10-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","106.4"
2009-10-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","103"
2009-11-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","102.7"
2009-11-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","99.5"
2009-12-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","126.6"
2009-12-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","104"
2010-01-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","97.1"
2010-01-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","101.8"
2010-02-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","91.2"
2010-02-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","103.1"
2010-03-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","103.5"
2010-03-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","103.2"
2010-04-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","99.2"
2010-04-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","102.5"
2010-05-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","103.4"
2010-05-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","102.5"
2010-06-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","99.3"
2010-06-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","101.2"
2010-07-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","105.3"
2010-07-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","103.4"
2010-08-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","96.4"
2010-08-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","102.1"
2010-09-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","101.2"
2010-09-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","103.8"
2010-10-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","104.4"
2010-10-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","103.1"
